voie;insee;commune
Rue du 11 Novembre 1918;02295;Étréaupont
Cite du 8 Mai;02298;Étreux
Rue du 2 Septembre;02298;Étreux
Rue du 8 Mai 1945;02305;Fère-en-Tardenois
Rue du 4 Septembre;02334;Fresnoy-le-Grand
Rue du 5 Juin 2005;02334;Fresnoy-le-Grand
Rue du 8 Mai 1945;02334;Fresnoy-le-Grand
Rue du 8 Mai 1945;02337;Froidestrées
Rue du Huit Mai 1945;02337;Froidestrées
Place du 8 Mai 1945;02340;Gauchy
Rue du 19 Mars 1962;02340;Gauchy
Place du 8 Mai 1945;02359;Grugies
Rue du 8 Mai 1945;02360;Villeneuve-sur-Aisne
Rue du 8 Mai 1945;02366;Hannapes
Rue du 19 Mars 1962;02368;Haramont
Rue du 8 Mai 1945;02374;Lehaucourt
Rue du 4 Septembre;02381;Hirson
Rue du 8 Mai 1945;02381;Hirson
Rue du 8 Novembre 1918;02383;Homblières
Rue du 10 Février;02397;Jussy
Rue du 8 Mai 1945;02397;Jussy
Place du 8 Mai 1945;02408;Laon
Rue du 13 Octobre 1918;02408;Laon
Rue du 8 Mai 1945;02420;Lesdins
Place du 8 Mai 1945;02422;Lesquielles-Saint-Germain
Rue du 8 Mai 1945;02422;Lesquielles-Saint-Germain
Avenue du 8 Mai 1945;02468;Marle
Rue du 8 Mai;02488;Molain
Rue du 8 Mai 1945;02488;Molain
Rue du 8 Mai 1945;02500;Montbrehain
Rue du 10 Fevrier;02504;Montescourt-Lizerolles
Place du 8 Mai;02539;Nauroy
Place du 8 Mai 1945;02539;Nauroy
Rue du 8 Mai 1945;02540;Nesles-la-Montagne
Rue du 2 Septembre;02548;La Neuville-lès-Dorengt
Rue du 18 Juin 1940;02571;Omissy
Rue du 8 Mai 1945;02571;Omissy
Place du 8 Mai 1945;02580;Oulchy-le-Château
Rue du 8 Mai 1945;02580;Oulchy-le-Château
Place du 14 Juillet 1789;02596;Pavant
Rue du 11 Novembre 1918;02610;Pommiers
Rue du 8 Mai 1945;02610;Pommiers
Place du 8 Mai 1945;02691;Saint-Quentin
Place du 8 Octobre;02691;Saint-Quentin
Rue du 18 Juin 1940;02691;Saint-Quentin
Rue du 4 Septembre;02691;Saint-Quentin
Place du 11 Novembre 1918;02713;Seringes-et-Nesles
Place du 11 Novembre 1918;02719;Sinceny
Place du 8 Mai 1945;02719;Sinceny
Place du Onze Novembre;02719;Sinceny
Rue du 11 Novembre 1918;02720;Sissonne
Rue du 8 Mai 1945;02720;Sissonne
Rue du 11 Novembre 1918;02722;Soissons
Rue du 8 Mai 1945;02722;Soissons
Rue du 19 Mars 1962;02738;Tergnier
Rue du 8 Mai 1945;02738;Tergnier
Place du 11 Novembre 1918;02805;Villeneuve-Saint-Germain
Rue du 18 Juillet;02810;Villers-Cotterêts
Rue du 18 Juillet 1918;02810;Villers-Cotterêts
Place du 11 Novembre;02818;Villiers-Saint-Denis
Rue du 8 Mai;02818;Villiers-Saint-Denis
Rue du 8 Mai 1945;02818;Villiers-Saint-Denis
Place du 11 Novembre 1918;02820;Viry-Noureuil
Rue du 8 Mai 1945;02820;Viry-Noureuil
Rue du 8 Mai 1945;02830;Wassigny
Rue du 19 Mars 1962;03006;Arfeuilles
Avenue du 8 Mai;03013;Avermes
Rue du 11 Novembre 1918;03013;Avermes
Rue du 6 Juin 1944;03013;Avermes
Rue du 8 Mai 1945;03022;Bellenaves
Rue du 19 Mars 1962;03025;Bessay-sur-Allier
Avenue du 8 Mai 1945;03036;Bourbon-l'Archambault
Rue du 8 Mai 1945;03046;Buxières-les-Mines
Avenue du 11 Novembre;03048;Cérilly
Place du 14 Juillet;03048;Cérilly
Place du 8 Mai;03048;Cérilly
Place du 11 Novembre;03053;Chantelle
Rue du 25 Aout;03053;Chantelle
Rue du 8 Mai 1945;03053;Chantelle
Place du 11 Novembre;03055;La Chapelaude
Place du 14 Juillet;03082;Commentry
Rue du 1er Mai;03082;Commentry
Rue du 4 Septembre;03082;Commentry
Boulevard du 8 Mai 1945;03095;Cusset
Rue du 29 Juillet;03095;Cusset
Avenue du 4 Septembre;03098;Désertines
Rue du 11 Novembre 1918;03101;Domérat
Rue du 19 Mars 1962;03101;Domérat
Rue du 1er Mai;03101;Domérat
Rue du 8 Mai 1945;03101;Domérat
Rue du 8 Mai;03103;Le Donjon
Rue du 20 Mai 1829;03110;Espinasse-Vozelle
Impasse du 11 Novembre;03111;Estivareilles
Impasse du 8 Mai 1945;03111;Estivareilles
Rue du 19 Mars 1962;03117;Franchesse
Place du 08 Mai 1945;03118;Gannat
Avenue du 8 Mai;03138;Lapalisse
Avenue du 8 Mai 1945;03138;Lapalisse
Place du 14 Juillet;03138;Lapalisse
Rue du 11 Novembre;03138;Lapalisse
Rue du 4 Septembre;03138;Lapalisse
Place 8 Mai 45;03158;Haut-Bocage
Rue du 1er Mai;03174;Molles
Rue du Premier Mai;03174;Molles
